Brewery,Beer,Style
Denver Beer Co,Graham Cracker Porter,Porter
Denver Beer Co,Incredible Pedal IPA,IPA
Denver Beer Co,Juicy Freak Juicy IPA,Hazy IPA
Denver Beer Co,Maui Express Tropical IPA with Coconut,IPA
Denver Beer Co,Pretzel Assassin Amber Lager,Lager
Denver Beer Co,Princess Yum Yum Raspberry Kolsch,Kolsch
Denver Beer Co,Tart Delight Citrus Sour,Sour
Denver Beer Co,Berry Proud Sour Ale with Raspberries & Cranberries,Sour
Denver Beer Co,Colorado Champions Cucumber Lime Lager,Lager
Denver Beer Co,Confluence Pale Ale,Pale Ale
Denver Beer Co,Don Exotic Mango Peach Blonde Ale,Blonde Ale
Denver Beer Co,Zoom Casual American IPA,IPA
Denver Beer Co,Hubbabubbalicious Watermelon Sour,Sour
Denver Beer Co,O&A Colorado Craft Hard Seltzer - Lime,Seltzer
Denver Beer Co,O&A Colorado Craft Hard Seltzer - Black Cherry,Seltzer
Denver Beer Co,O&A Colorado Craft Hard Seltzer - Mango,Seltzer
Denver Beer Co,O&A Colorado Craft Hard Seltzer - Dragon Fruit,Seltzer
