Brewery,Beer,Style,ABV,IBU
Prost Brewing Co,Vienna Lager,Vienna-Style Amber Lager,5.2,30 IBUs 
Prost Brewing Co,Berliner Weisse,Traditional German-Style Sour,3.4,4 IBUs 
Prost Brewing Co,Gose,Old World German Sour Ale,4.8, IBUs 
Prost Brewing Co,Bourbon Barrel Aged Doppelbock,Strong Dark Lager,9.5,26 IBUs 
Prost Brewing Co,Bourbon Barrel Aged Dortmunder,Golden Export Lager,5.2,17 IBUs 
Prost Brewing Co,Rum Barrel Aged Rauchbier,German Smoked Lager,5.8,0 IBUs 
Prost Brewing Co,Hazy IPL,Hazy India Pale Lager,6.5,0 IBUs 
Prost Brewing Co,Rauchbier,Smoked Amber Lager,5.6,30 IBUs 
Prost Brewing Co,Keller Pils,Keller / Zwickel-Style Keller-Pils,4.9,43 IBUs 
Prost Brewing Co,IPL,India Pale Lager,6.0,50 IBUs 
Prost Brewing Co,Dunkelweizen,German Dark Wheat Ale,5.6,12 IBUs 
Prost Brewing Co,Trubucha,Kombucha,0,0
Prost Brewing Co,Pilsner,German-Style Lager,4.9,43 IBUs 
Prost Brewing Co,Dunkel,German-Style Dark Lager,5.6,24 IBUs 
Prost Brewing Co,Weissbier,Bavarian-Style Wheat Ale,5.0,12 IBUs 
Prost Brewing Co,Kölsch,Köln-Style Classic Ale,4.8,32 IBUs 
Prost Brewing Co,Helles,Munich-Style Lager,4.8,17 IBUs 
Prost Brewing Co,Altbier,German-Style Amber Ale,5.1,37 IBUs 
Prost Brewing Co,Märzen,German-Style Amber Lager,5.8,22 IBUs 
Prost Brewing Co,Maibock,Bock-Style Lager,6.8,31 IBUs 
Prost Brewing Co,Doppelbock,Dark Lager,8.6,26 IBUs 
Prost Brewing Co,Radler,German-Style Grapefruit Lager,2.5,8 IBUs 
Prost Brewing Co,Peach Kolsch,Peach Classic Ale,4.8,32 IBUs 
Prost Brewing Co,Peach Kolsch,Peach Hybrid Ale,4.8,32 IBUs 
Prost Brewing Co,Bourbon Barrel Aged Vienna Lager,Vienna-Style Amber Lager,6.2,0 IBUs 
Prost Brewing Co,Bourbon Barrel Aged Dunkel,GERMAN-STYLE DARK LAGER,5.6,4 IBUs 
Prost Brewing Co,Radler,German-style Grapefruit Lager,4.0,16 IBUs 
Prost Brewing Co,Vienna Lager,Austrian-style Amber Lager,5.4,27 IBUs 
Prost Brewing Co,Baltic Porter,Baltic-Style Dark Lager,7.5,30 IBUs 
Prost Brewing Co,Weizenbock,German-Style Wheat Ale,9.0,12 IBUs 
